variant,date,param,kind,unit,value_conc,below_lod,raw,pumped_volume_l,lab_no,source_file,treatment,treatment_group,treatment_group_label,soil,sensor,phase,experiment_start_date,days
000.A,2022-08-01,Ks4.3_mmol_per_l,direct,mmol/l,4.2,False,4.2,5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
000.A,2022-08-01,Mg,ion,umol/l,699.444558732771,False,17,5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
000.A,2022-08-01,NO2,ion,umol/l,0.0,True,"<0,05",5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
000.A,2022-08-01,NO3,ion,umol/l,45.158376878911035,False,2.8,5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
000.A,2022-08-01,Na,ion,umol/l,1565.89821661592,False,36,5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
000.A,2022-08-01,O2_mg_per_l,direct,mg/l,7.7,False,7.7,5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
000.A,2022-08-01,SO4,ion,umol/l,1041.0160316468873,False,100,5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
000.A,2022-08-01,Si,ion,umol/l,210.0690735597807,False,5.9,5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
000.A,2022-08-01,pH_field,direct,pH,7.29,False,7.29,5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
000.A,2022-08-01,pH_lab,direct,pH,7.11,False,7.11,5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
000.A,2022-08-01,sum_anions_meq_per_l,direct,meq/l,8.65780656085287,False,8.65780656085287,5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
000.A,2022-08-01,sum_cations_meq_per_l,direct,meq/l,8.65109511330028,False,8.65109511330028,5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
000.A,2022-08-01,temp_air_degC,direct,degC,28.0,False,28,5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
000.A,2022-08-01,temp_pH_lab_degC,direct,degC,19.1,False,19.1,5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
000.A,2022-08-01,temp_water_field_degC,direct,degC,20.1,False,20.1,5.3,AP2241436,CDIFUE21_AB2209902.xlsx,000,000,Control,FUERTH2022,False,2022,2022-05-15,78
