variant,treatment,treatment_label,treatment_group,treatment_group_label,soil,soil_name,sensor,phase,experiment_start_date,date,days,TA_umol_per_l,sampling_interval_days,rain_interval_mm,temp_mean_interval_C,rain_interval_onsite_mm,temp_mean_interval_onsite_C,TA_flux_mmol_per_m2_pumped,TA_cum_mmol_per_m2_pumped,TA_CO2_t_per_ha_per_yr_pumped,TA_CO2cum_t_per_ha_pumped,TA_flux_mmol_per_m2_avgBD,TA_cum_mmol_per_m2_avgBD,TA_CO2_t_per_ha_per_yr_avgBD,TA_CO2cum_t_per_ha_avgBD,TA_flux_mmol_per_m2_dumpmodel,TA_cum_mmol_per_m2_dumpmodel,TA_CO2_t_per_ha_per_yr_dumpmodel,TA_CO2cum_t_per_ha_dumpmodel
000.B,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-11-15,184,5326.384450235179,35.0,39.5,11.151428571428571,36.6,,118.07256170472073,1111.888304406161,0.5422663637671515,0.4893309238861074,118.07256170472073,1111.888304406161,0.5422663637671515,0.4893309238861074,118.07256170472073,1111.888304406161,0.5422663637671515,0.4893309238861074
000.B,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2022-12-12,211,4441.385187734565,27.0,44.30000000000001,2.8000000000000003,39.0,,207.84807528807076,1319.7363796942318,1.2374109876074355,0.5808027833396344,207.84807528807076,1319.7363796942318,1.2374109876074355,0.5808027833396344,207.84807528807076,1319.7363796942318,1.2374109876074355,0.5808027833396344
000.B,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2023-01-17,247,3720.274677548879,36.0,64.39999999999999,4.558333333333334,47.2,,201.59123868491463,1521.3276183791463,0.9001209660290639,0.6695210715724785,201.59123868491463,1521.3276183791463,0.9001209660290639,0.6695210715724785,201.59123868491463,1521.3276183791463,0.9001209660290639,0.6695210715724785
000.B,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2023-02-14,275,3474.441549076487,28.0,37.0,0.2178571428571428,8.199999999999996,,119.80832927849954,1641.135947657646,0.6877976784875666,0.7222475192046534,119.80832927849954,1641.135947657646,0.6877976784875666,0.7222475192046534,119.80832927849954,1641.135947657646,0.6877976784875666,0.7222475192046534
000.B,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2023-03-13,302,3097.4974187521507,27.0,50.099999999999994,4.725925925925925,32.2,,83.92234385781687,1725.058291515463,0.4996266155051191,0.75918090351304,83.92234385781687,1725.058291515463,0.4996266155051191,0.75918090351304,83.92234385781687,1725.058291515463,0.4996266155051191,0.75918090351304
000.B,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2023-04-17,337,3343.330547224544,35.0,57.99999999999999,7.462857142857144,39.400000000000006,,119.40466240087656,1844.4629539163395,0.5483842406917041,0.8117297013890418,119.40466240087656,1844.4629539163395,0.5483842406917041,0.8117297013890418,119.40466240087656,1844.4629539163395,0.5483842406917041,0.8117297013890418
000.B,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2023-05-16,366,4064.44105741023,29.0,62.2,11.820689655172414,29.6,,30.03281569514948,1874.495769611489,0.1664676229000486,0.8249468432483201,30.03281569514948,1874.495769611489,0.1664676229000486,0.8249468432483201,30.03281569514948,1874.495769611489,0.1664676229000486,0.8249468432483201
000.B,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2023-06-20,401,3703.885802317387,35.0,62.6,17.525714285714287,14.8,,27.36861430283783,1901.864383914327,0.1256945622680782,0.8369914967168561,27.36861430283783,1901.864383914327,0.1256945622680782,0.8369914967168561,27.36861430283783,1901.864383914327,0.1256945622680782,0.8369914967168561
000.B,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2023-09-12,485,4900.273694216366,84.0,280.0,19.81785714285714,65.6,,136.3869279424752,2038.251311856802,0.2609907924871902,0.8970140198350599,136.3869279424752,2038.251311856802,0.2609907924871902,0.8970140198350599,136.3869279424752,2038.251311856802,0.2609907924871902,0.8970140198350599
000.B,000,Control,000,Control,FUERTH2022,Fürth 2022,False,2022,2022-05-15,2023-12-05,569,3703.885802317387,84.0,153.9,9.974999999999998,107.2,,291.9318858969369,2330.183197753739,0.5586424989692366,1.025490323499443,291.9318858969369,2330.183197753739,0.5586424989692366,1.025490323499443,291.9318858969369,2330.183197753739,0.5586424989692366,1.025490323499443
