date,pot,soil_moisture_30cm_pct,soil_moisture_60cm_pct,soil_ec_30cm,soil_ec_60cm,soil_ph_30cm,soil_ph_60cm
2024-03-13,000.B,22.27857142857143,25.51785714285715,82.0,90.0,6.400000000000001,
2024-03-20,000.B,21.96284848484849,25.03698795180722,81.49090909090908,87.79518072289157,6.391779141104287,
2024-03-27,000.B,22.28185430463577,25.2166049382716,83.45695364238411,86.9074074074074,6.405853658536588,
2024-04-03,000.B,23.20084848484847,26.53652439024391,94.56363636363636,96.76219512195122,6.469880239520967,
2024-04-10,000.B,22.57256097560977,26.08164634146339,94.1890243902439,100.2682926829268,6.456441717791413,
2024-04-17,000.B,21.2530303030303,24.96751552795032,85.78181818181818,92.9192546583851,6.435121951219514,
2024-04-24,000.B,23.34288343558283,26.79742331288343,98.69325153374233,102.2024539877301,6.402012195121951,
2024-05-01,000.B,22.02439759036145,25.81780487804878,92.50602409638554,100.8658536585366,6.466975308641992,
2024-05-08,000.B,21.2036809815951,24.39018072289156,90.50920245398773,94.63253012048193,6.46624242424244,
2024-05-15,000.B,19.57362499999998,23.59868263473053,81.46875,91.34730538922156,6.456890243902458,
2024-05-22,000.B,20.82583850931677,23.48449101796409,91.69565217391305,92.02994011976048,6.460361445783128,
2024-05-29,000.B,22.53215568862275,26.06890909090911,107.065868263473,111.3878787878788,6.504907975460123,
2024-06-05,000.B,23.10488372093025,27.00953488372095,112.4108527131783,124.6744186046512,6.478787878787895,
2024-06-12,000.B,21.23373493975906,24.44884146341463,92.1867469879518,105.3841463414634,6.459457831325323,
2024-06-19,000.B,19.33957575757575,23.08260606060604,81.37575757575758,94.26666666666667,6.415722891566252,
2024-06-26,000.B,19.84084337349397,23.32863095238095,88.73493975903614,96.56547619047619,6.447891566265063,
2024-07-03,000.B,22.90312883435583,26.09596385542167,111.9447852760736,120.4819277108434,6.488242424242427,
2024-07-10,000.B,21.77669421487601,25.62434426229506,103.6198347107438,118.3852459016394,6.425083333333328,
2024-07-31,000.B,24.64285714285715,26.99399999999999,120.8214285714286,122.0727272727273,6.231403508771929,
2024-08-07,000.B,21.82109756097557,25.41341463414635,101.8353658536585,117.4024390243902,5.842592592592598,
